type,location,bed,address,total_sqft,bath,price
Land for sale,Bronx County,3,1818 Unionport Rd,2184.207862,2.373860858,250000
Co-op for sale,New York,3,579 W 215th St Apt 9D,2184.207862,1,299000
House for sale,Queens County,5,146-06 13th Ave,2184.207862,2.373860858,1288000
Condo for sale,New York,2,158 Franklin St Fl 3,1875,2,3345000
Multi-family home for sale,Queens County,6,132-31 219th St,2184.207862,5,1198000
House for sale,Queens County,3,69-29 54th Ave,1260,2,897888
House for sale,Kings County,4,190 Crystal St,1604,2,575000
Co-op for sale,Queens,1,43-25 Douglaston Pkwy Unit 6D,2184.207862,1,230000
Co-op for sale,New York,1,401 W End Ave Unit 3E,2184.207862,1,775000
Land for sale,Bronx County,3,1818 Unionport Rd,2184.207862,2.373860858,250000
Condo for sale,New York,2,158 Franklin St Fl 3,1875,2,3345000
House for sale,Bronx County,6,5000 Goodridge Ave,6290,6,3400000
House for sale,Kings County,4,190 Crystal St,1604,2,575000
House for sale,Queens County,3,69-29 54th Ave,1260,2,897888
Multi-family home for sale,Queens County,6,132-31 219th St,2184.207862,5,1198000
House for sale,Queens County,5,146-06 13th Ave,2184.207862,2.373860858,1288000
House for sale,Queens County,4,150-123 Powells Cove Blvd,3512,3,2100000
Co-op for sale,Queens,1,43-25 Douglaston Pkwy Unit 6D,2184.207862,1,230000
House for sale,Richmond County,6,47 Wheeler Ave,3600,3,1080000
Condo for sale,Staten Island,1,966 Clove Rd Unit H1,718,1,378888
Condo for sale,New York,3,2132 2nd Ave Unit 7B,1027,2,750000
Co-op for sale,New York,1,401 W End Ave Unit 3E,2184.207862,1,775000
Co-op for sale,New York,6,151 E 79th St Fl 11,2184.207862,4,7495000
House for sale,Richmond County,3,160 New Dorp Plz,1440,2,698888
Condo for sale,Brooklyn,1,158 India St Apt 3,626,1,850000
Townhouse for sale,Kings County,4,465 Saint Johns Pl,2800,3,2999999
Multi-family home for sale,Queens County,6,86-58 261st St,2184.207862,3,1149999
Townhouse for sale,Kings County,2,204 Richards Street Richards St Unit 204,1500,2,2025000
Townhouse for sale,Kings County,3,338 Humboldt St,1950,2,2695000
Co-op for sale,The Bronx,1,555 Kappock St Apt 12F,2184.207862,1,192500
Co-op for sale,New York,1,170 W 85th St Apt 4NW,550,1,395000
Multi-family home for sale,Kings County,7,1278 E 70th St,2184.207862,2.373860858,1200000
Co-op for sale,New York,2,7 W 92nd St Apt 5G,800,1,699000
Multi-family home for sale,Queens County,4,616 Beach 69th St,2184.207862,2,649000
House for sale,Richmond County,3,414 Herberton Ave,1484,2,689000
Co-op for sale,Brooklyn,3,378 4th St Apt 4,2184.207862,2,1895000
Condo for sale,Queens,2,83-75 117th St Unit 7A,2184.207862,2,668000
Condo for sale,New York,3,422 W 49th St Apt 4A,1525,2,2550000
Townhouse for sale,New York County,8,34 MT Morris Park W,5925,6,5500000
House for sale,New York County,1,314 W 138th St,3536,1,1680000
Condo for sale,New York,1,155 E 34th St Apt 20A,684,1,799000
House for sale,Richmond County,3,54 E Augusta Ave,2200,2,680000
Co-op for sale,New York,1,92 Horatio St Apt 1L,1000,2,1650000
Condo for sale,New York,3,525 W 22nd St Apt 2F,3000,3,6750000
House for sale,Kings County,6,801 Thomas S Boyland St,2940,3,580000
Townhouse for sale,Kings County,4,5473 Kings Hwy,2266,2,700000
House for sale,Richmond County,3,690 N Railroad Ave,1410,2,550000
Townhouse for sale,Richmond County,3,2806 Richmond Ter,1344,2,315000
Condo for sale,Brooklyn,2,175 Jackson St Apt 4D,1117,2,1695000
Co-op for sale,Brooklyn,2,420 44th St Apt 3,2184.207862,1,385000
Townhouse for sale,New York County,5,246 W 123rd St Unit Townhouse,3024,3,2000000
Co-op for sale,Brooklyn,2,2018 E 59th St Unit 159D,750,1,249999
House for sale,Bronx County,3,2225 Seward Ave,2184.207862,2,749000
House for sale,Kings County,3,1800 Troy Ave,1396,2.373860858,220000
Co-op for sale,Queens,1,18-75 Corporal Kennedy St Unit 5J,2184.207862,1,270000
House for sale,Queens County,4,214-39 45th Dr,2184.207862,2,998000
Multi-family home for sale,Kings County,12,254 Jefferson St,4125,6,1150000
House for sale,Richmond County,5,57 Middle Loop Rd,2288,4,799999
Co-op for sale,New York,3,69 W 9th St Apt 4C,2184.207862,1,395000
Condo for sale,New York,2,15 W 96th St Unit 14B,1188,2,2800000
Co-op for sale,Queens,3,210-15 23 Ave Unit 1,2184.207862,1,329888
Co-op for sale,Brooklyn,1,40 Brighton 1 Rd Unit 6B,780,1,311000
Condo for sale,Brooklyn,3,326 Melrose St Apt 1A,804,2,649000
Co-op for sale,The Bronx,1,2630 Kingsbridge Ter Apt 7Y,800,1,159000
House for sale,Kings County,3,334 100th St,1890,2,1148000
Co-op for sale,Kings County,3,3901 Nostrand Ave Apt 6P,1480,2,669000
Co-op for sale,Brooklyn,1,7259 Shore Rd Apt 3G,750,1,305000
Co-op for sale,Queens,3,18-15 215 St Unit 2D,2184.207862,2,599000
House for sale,Kings County,3,417 17th St,1960,2,1375000
Co-op for sale,Bronx County,2,86C Edgewater Park Unit C,906,2,339000
Condo for sale,New York,2,161 E 110th St Apt 7A,975,2,849500
Contingent,Staten Island,4,20 Bay St Lndg Unit 3J,1200,1,379000
Condo for sale,Queens,2,31-38 137 St Unit 8A,967,2,699000
Co-op for sale,New York,1,107 W 70th St Apt 4F,2184.207862,1,565000
Pending,Queens County,4,116-46 233rd St,2184.207862,3,750000
Multi-family home for sale,Bronx County,9,1847 Barnes Ave,3234,3,1250000
Condo for sale,New York,2,775 Riverside Dr Apt 5H,1262,2,999000
House for sale,Queens County,6,380 Beach 13th St,2184.207862,4,1350000
House for sale,Queens County,3,181-10 93rd Ave,1376,2,669900
Co-op for sale,New York,3,36 W 35th St Apt 5D,2184.207862,1,399000
Pending,Queens County,5,193-06 122nd Ave,2000,3,779000
Multi-family home for sale,Kings County,5,2546 E 29th St,2184.207862,2,1200000
Co-op for sale,New York,2,55 E 65th St Apt 4A,2184.207862,1,895000
Condo for sale,Brooklyn,3,720 57th St Apt 4C,2184.207862,1,369000
Co-op for sale,Brooklyn,1,7119 Shore Rd Apt 2C,750,1,299000
Pending,Bronx County,4,735 Ladd Rd,2184.207862,3,1780000
House for sale,Kings County,5,211 E 53rd St,3244,2,988000
Co-op for sale,Queens,2,196-44 69th Ave Unit 1ST,810,1,279000
Co-op for sale,New York,3,417 E 87th St Apt 3B,2184.207862,1,285000
House for sale,Queens County,3,31-20 Buell St,1311,3,988000
Co-op for sale,New York,1,205 W 95th St Apt 3B,800,1,735000
Co-op for sale,New York,2,20 Bond St Apt 2,2184.207862,2,2950000
Co-op for sale,New York,2,345 W 55th St Apt 6B,2184.207862,1,899000
House for sale,Queens County,4,49-12 167th St,2184.207862,2,850000
Multi-family home for sale,Kings County,3,5514 Tilden Ave,2184.207862,2,670000
House for sale,Bronx County,4,1705 Hone Ave,2550,2,968000
Co-op for sale,The Bronx,2,3121 Middletown Rd Apt 2K,1200,2,320000
Co-op for sale,Queens,1,85-15 Main St Unit 7A,900,1,228888
Co-op for sale,Queens,2,151-25 88 St Unit 4E,2184.207862,1,199888
Co-op for sale,New York,4,110 Franklin St Unit 1,2184.207862,4,5995000
Multi-family home for sale,Bronx County,6,242 Balcom Ave,2840,4,1430000
Multi-family home for sale,Queens County,4,61-26 69th Ln,2184.207862,3,1350888
Co-op for sale,Brooklyn,2,125 Ocean Ave Apt 1J,1100,1,699000
House for sale,Kings County,3,2526 Ralph Ave,1296,2,699000
Co-op for sale,New York,3,106 E 85th St Apt 5S,1800,2,2000000
Co-op for sale,Queens,3,23-55 Bell Blvd Unit 6G,1500,2,538888
Townhouse for sale,Kings County,5,274 Bainbridge St,2982,2.373860858,2450000
House for sale,Richmond County,3,190 Vanderbilt Ave,1040,2,574999
Co-op for sale,Queens,1,65-15 Yellowstone Blvd Unit 5H,2184.207862,1,275000
House for sale,Queens County,4,209-35 30th Ave,2688,3,1499888
Co-op for sale,Brooklyn,3,300 8th Ave Apt 1N,275,1,270000
House for sale,Bronx County,4,2760 Hone Ave,1832,3,675000
Co-op for sale,The Bronx,1,4380 Vireo Ave Apt 6R,750,1,149000
Co-op for sale,The Bronx,2,120B Edgewater Park Unit 120B,863,1,299999
Co-op for sale,Brooklyn,3,775 Lafayette Ave Apt 6D,2184.207862,2,595000
Co-op for sale,The Bronx,2,3671 Hudson Manor Ter Apt 14J,1200,2,536000
Co-op for sale,Queens,2,47-31 216th St Unit 3B,2184.207862,1,288000
House for sale,New York County,4,182 Franklin St,10000,4,19499999
Townhouse for sale,Kings County,4,36 Schermerhorn St,3400,4,6995000
House for sale,Kings County,3,2034 E 36th St,2050,2,799000
Condo for sale,New York County,4,247 Water St Unit Ph,3704,4,4000000
Co-op for sale,The Bronx,1,1922 McGraw Ave Apt 6E,625,1,165000
Condo for sale,Brooklyn,2,429 Kent Ave Unit 902,1048,2,1475000
Condo for sale,New York,3,595 Main St Apt 410,721,1,595000
Townhouse for sale,New York County,10,313 W 92nd St,6201,8,3500000
Multi-family home for sale,Queens County,12,17-25 Menahan St,4875,6,1090000
Pending,Kings County,6,1694 54th St,4500,2.373860858,2499000
House for sale,Bronx County,5,2318 Holland Ave,2218,2,699999
House for sale,Queens County,4,140-95 Burden Cres,1672,2,899000
House for sale,Richmond County,3,15 Astor Ave,1152,2,549000
Townhouse for sale,Kings County,6,14 Fillmore Pl,2400,4,3700000
House for sale,Richmond County,5,18 Albion Pl,1870,2,768000
House for sale,Richmond County,4,61 Park Dr N,2476,2,949000
Multi-family home for sale,Kings County,6,1139 Grant Ave,2184.207862,3,980000
Multi-family home for sale,Bronx County,8,660 Magenta St,4428,3,849000
Co-op for sale,Queens County,1,67-66 108th St Unit B68,2184.207862,1,269000
House for sale,Bronx County,3,2862 Briggs Ave,2184.207862,2.373860858,150000
Co-op for sale,New York,2,66 W 84th St Apt 4A,2184.207862,1,770000
Multi-family home for sale,New York,1,504 W 110th St Apt 9C,630,1,750000
House for sale,The Bronx,3,154 Revere Ave Unit 5589/141,1728,2,638000
Co-op for sale,Queens,1,138-69 Jewel Ave Unit A,2184.207862,1,199000
Co-op for sale,Queens,1,26910 Grand Central Pkwy Apt 7P,801,1,239000
Townhouse for sale,New York County,5,446 W 22nd St,4065,2.373860858,6999500
House for sale,Queens County,4,220-19 135th Ave,2184.207862,2,693000
Multi-family home for sale,Queens County,5,79-10 Grand Ave,2184.207862,3,1150000
Co-op for sale,New York,1,56 Jane St Apt 1B,2184.207862,1,549000
House for sale,Queens County,3,108-36 Ditmars Blvd,2184.207862,2,889000
Multi-family home for sale,Kings County,7,257 49th St,2000,3,1075000
House for sale,New York County,5,239 E 48th St,5000,4,6995000
Co-op for sale,Queens,3,84-50 169 St Unit 519,2184.207862,1,155000
Co-op for sale,Kings County,2,773 Eastern Pkwy Apt 2A,800,1,349000
Co-op for sale,New York,2,250 W 103rd St Apt 7D,2184.207862,1,825000
Condo for sale,Bronx County,2,1604 Metropolitan Ave,789,1,215000
House for sale,Kings County,3,2164 E 72nd St,2700,2,1099000
Townhouse for sale,New York,3,845 United Nations Plz Apt 6A,1979,3,2900000
Condo for sale,Bronx County,2,1604 Metropolitan Ave,789,1,215000
Co-op for sale,New York,2,250 W 103rd St Apt 7D,2184.207862,1,825000
Co-op for sale,Kings County,2,773 Eastern Pkwy Apt 2A,800,1,349000
Pending,Queens County,3,80-07 Margaret Pl,1504,1,555000
Multi-family home for sale,Queens County,3,130-21 Lefferts Blvd,2184.207862,2,697777
Condo for sale,Brooklyn,6,360 Furman St Apt 1216,8500,2.373860858,14995000
House for sale,Richmond County,3,51 Shiloh St,1152,2,850000
Contingent,Richmond County,3,29 Douglas Rd,2774,3,1175000
Co-op for sale,New York,1,445 E 86th St Apt 16C,2184.207862,1,545000
Condo for sale,Queens,1,20-48 Steinway St Unit 1B,879,2,749000
House for sale,New York County,5,141 W 95th St,6000,4,13000000
Townhouse for sale,Staten Island,3,339 Union Ave Unit 41,1677,2,549999
Condo for sale,The Bronx,3,276 Buttrick Ave Unit I3,920,2,365000
Condo for sale,Brooklyn,2,508A Lexington Ave # 2,845,2,695000
Multi-family home for sale,Queens County,5,156 Beach 26th St,2184.207862,2,848000
Condo for sale,Brooklyn,3,1515 W 4th St Apt 1R,1779,2,699000
Co-op for sale,New York,2,310 Lexington Ave Unit 10FG,1250,2,1075000
Pending,New York,3,309 E 108th St Apt 2B,1600,2,998000
Condo for sale,Staten Island,3,172 Greenleaf Ave Unit 2B,2184.207862,2,540000
Co-op for sale,The Bronx,3,555 Kappock St Apt 5M,550,1,165000
Condo for sale,New York,1,186 W 80th St Apt 3A,517,1,779000
Condo for sale,New York,2,330 E 38th St Apt 14L,1041,2,1399999
Co-op for sale,Queens,3,6011 Broadway Apt L1,2184.207862,2,569000
House for sale,Richmond County,3,63 Cassidy Pl,1536,2.373860858,285000
Townhouse for sale,Kings County,4,612 3rd St,4650,4,6295000
Condo for sale,New York,6,522 W 29th St Unit 3AB,4908,7,11500000
Condo for sale,Brooklyn,1,10 E 43rd St Apt 3K,750,1,199999
Condo for sale,Queens,1,41-62 Bowne St Unit 11C,490,1,569000
Pending,The Bronx,2,3135 Johnson Ave Apt 10F,975,1,345000
House for sale,Queens County,3,155-11 14th Ave,2184.207862,2,1448000
Co-op for sale,The Bronx,1,2166 Bronx Park E Apt 5J,831,1,183000
Condo for sale,The Bronx,5,640 W 237th St Apt 14C,3075,4,1995000
Townhouse for sale,Kings County,5,615 President St,2105,3,2250000
Condo for sale,Richmond County,3,259 Windham Loop,1632,2.373860858,650000
Multi-family home for sale,Bronx County,3,3641 Johnson Ave,2184.207862,2.373860858,14000000
Multi-family home for sale,Bronx County,7,1746 Van Buren St,3388,3,785000
House for sale,Richmond County,6,65 Jenna Ln,6353,6,2599999
Co-op for sale,Queens,5,107-40 Queens Blvd Ph 1,3000,3,1850000
Condo for sale,Queens,1,109-20 Queens Blvd Unit 3K,661,1,435000
Multi-family home for sale,Kings County,8,102 Cornelia St,2184.207862,4,1899000
Pending,Bronx County,6,2729 Westervelt Ave,2340,2,875000
Condo for sale,New York,2,36 Gramercy Park E Apt 5S,2184.207862,1,1479000
Co-op for sale,New York,3,455 E 51st St # 4A,2025,2,2250000
Condo for sale,New York,2,265 W 131st St Apt 4,922,2,799000
Townhouse for sale,New York County,10,30 Eighth Ave,5227,10,12000000
Co-op for sale,The Bronx,1,3475 Greystone Ave Apt 4C,1000,1,205000
House for sale,Kings County,3,1611 E 31st St,1664,2,897000
Co-op for sale,New York,1,300 E 74th St Apt 22E,2184.207862,2,1195000
Multi-family home for sale,Kings County,6,174 Essex St,2184.207862,3,1100000
Townhouse for sale,Kings County,5,594 Court St,3000,4,1999000
Multi-family home for sale,Bronx County,13,941 Croes Ave,5250,7,1215000
House for sale,Kings County,3,2514 Voorhies Ave,2110,2,1250000
Townhouse for sale,Kings County,5,177 S 4th St,17860,4,9000000
Co-op for sale,Queens,3,65-10 108th St Unit 3M,1350,2,575000
Townhouse for sale,New York County,11,46 Laight St,11110,11,19995000
Co-op for sale,New York,1,445 E 86th St Apt 3J,2184.207862,1,399000
Townhouse for sale,New York County,5,25 Perry St,4100,4,12995000
Pending,New York,4,44 Summit Ave,2388,3,1245000
Condo for sale,Queens,2,206-17 Emily Rd Unit 1002,1190,2,798000
House for sale,Bronx County,5,1604 Harding Park,1790,2,475000
Condo for sale,Queens,1,60-70 Woodhaven Blvd Unit 4H,616,1,399000
House for sale,Queens County,3,91-11 92nd St,1344,3,780000
Condo for sale,Staten Island,1,90 Bay Street Lndg Apt 7H,776,1,450000
Multi-family home for sale,Queens County,6,120-41 132 St,2184.207862,3,889000
Townhouse for sale,New York County,10,53 W 94th St,6060,10,6900000
House for sale,Richmond County,3,78 Hooker Pl,1888,4,765000
Co-op for sale,Queens,3,18-35 Corporal Kennedy St Unit 2K,1492,2,399000
Co-op for sale,New York,1,136 W 81st St Apt 4F,2184.207862,1,585000
Co-op for sale,New York,1,136 W 81st St Apt 4F,2184.207862,1,585000
Multi-family home for sale,Queens County,12,70-33 65th Pl,2184.207862,6,1450000
Multi-family home for sale,Kings County,6,2472 E 21st St,2160,3,1388888
Multi-family home for sale,Queens County,4,104-37 116th St,2184.207862,2,779000
Co-op for sale,New York,3,140 W 69th St Apt 106C,2184.207862,1,395000
House for sale,Kings County,4,8647 16th Ave,1492,2,948000
Condo for sale,Queens,1,88-30 51st Ave Unit 6A,720,1,550000
Co-op for sale,Queens,3,35-20 82nd St Unit 41,1020,1,549999
Multi-family home for sale,Kings County,6,136 E 87th St,2184.207862,3,950000
Townhouse for sale,Kings County,5,238 Decatur St,4043,4,2295000
Multi-family home for sale,Queens County,6,62-14 Hillmeyer Rd,2200,4,799000
Condo for sale,The Bronx,2,5775 Mosholu Ave Apt 7F,850,1,290900
Condo for sale,The Bronx,2,3220 Fairfield Ave Apt 6A,1054,2,474900
Co-op for sale,New York,1,175 Rivington St Apt 1A,2184.207862,1,365000
Co-op for sale,The Bronx,1,601 Kappock St Apt 1P,2184.207862,1,199000
Condo for sale,Brooklyn,3,50 Bridge Park Dr Ph 1C,2789,4,7995000
Condo for sale,Brooklyn,1,2128 Ocean Ave Apt 5J,506,1,480000
Co-op for sale,New York County,2,79 Perry St # F,2184.207862,1,1450000
House for sale,Queens County,3,84-42 85 Rd,2184.207862,2,695000
House for sale,Bronx County,3,1187 Rhinelander Ave,2400,4,1249000
House for sale,Kings County,3,1645 E 92nd St,1200,2,635000
House for sale,Brooklyn,3,348 E 4th St Unit 1,2100,2.373860858,1759000
Co-op for sale,Brooklyn,2,167 Havemeyer St Apt 8,2184.207862,1,499000
Multi-family home for sale,Kings County,3,590 Maple St,2184.207862,6,999000
Townhouse for sale,New York County,6,25 W 88th St,8068,7,17995000
Townhouse for sale,Kings County,5,1259 Jefferson Ave,3317,2.373860858,2175000
Co-op for sale,Queens County,3,42-22 Ketcham St Unit B8B9,2184.207862,2,639000
Multi-family home for sale,Kings County,3,590 Maple St,2184.207862,6,999000
Co-op for sale,Brooklyn,2,143 Lafayette Ave Apt 1A,2184.207862,1,1099000
Condo for sale,Richmond County,1,45 Francine Ct,638,1,318000
Co-op for sale,New York,3,41 Jane St Apt 4C,2184.207862,1,475000
Multi-family home for sale,Bronx County,4,2740 Seymour Ave,2034,2,875000
Multi-family home for sale,Richmond County,4,41 Clifton St,2000,2,739900
Co-op for sale,Queens,2,69-60 108th St Unit 501,2184.207862,1,409000
Condo for sale,Brooklyn,2,1086 E 73rd St Unit 75,969,2,275000
Multi-family home for sale,Queens County,4,120-10 135th St,2184.207862,4,989000
Townhouse for sale,Kings County,9,104 Jackson St,5000,8,1750000
Co-op for sale,New York,3,45 Tudor City Pl Apt 708,2184.207862,1,285000
House for sale,New York County,4,121 E 83rd St,7825,2,12495000
Pending,Brooklyn,2,8701 Shore Rd Apt 344,1200,2,695000
Townhouse for sale,New York County,6,215 W 138th St,4400,4,3450000
Co-op for sale,Queens County,2,66-15 Thornton Pl Unit 3N,925,1,435000
Co-op for sale,The Bronx,2,3245 Perry Ave Apt 1F,922,1,220000
House for sale,New York,3,145-60 5th Ave Unit 1FAM,2071,4,1988800
Co-op for sale,New York,2,6 E 68th St Apt 2,2184.207862,2,3300000
Co-op for sale,Queens,1,1040 Neilson St Apt 2H,792,1,135000
Co-op for sale,Queens,2,88-11 Elmhurst Ave Unit C11,1200,1,468000
Townhouse for sale,New York County,4,310 E 69th St,4375,4,5999999
Co-op for sale,Queens,1,40-40 203rd St Unit 5B,748,1,318000
Condo for sale,Queens,2,14-43 28th Ave Unit BB1,705,1,649000
House for sale,Kings County,3,96 86th St,1496,2,1875000
House for sale,Kings County,3,1719 E 22nd St,1584,2,1350000
Co-op for sale,New York,4,151 W 86th St Apt 3D,3000,4,3345000
Co-op for sale,New York,1,41 W 96th St Unit 9D,2184.207862,2,899000
House for sale,Richmond County,3,149 Durant Ave,1816,2,799000
Condo for sale,New York,3,71 Park Ave # 10AB,2162,3,5000000
Pending,Brooklyn,2,2650 Ocean Pkwy Apt 10P,1657,2,464998
Condo for sale,New York County,3,75 First Ave # A,1757,3,5250000
Co-op for sale,New York,2,40 W 67th St Apt 8B,1200,2,1995000
Condo for sale,The Bronx,3,2833 Ely Ave Apt 2,1004,2,504000
Co-op for sale,New York,2,156 Bank St Apt 1A,2184.207862,1,1295000
